time,_start,_stop,_time,_field_cdi,_field_depth,_field_dmin,_field_felt,_field_gap,_field_lat,_field_lon,_field_mag,_field_mmi,_field_nst,_field_rms,_field_sig,_field_tsunami,magType_mb,magType_mb_lg,magType_md,magType_ml,magType_mwr,magType_mww,net_ak,net_ci,net_hv,net_nc,net_ok,net_pr,net_us
2023-02-19 12:16:58.020000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:16:58.020000+00:00,0.0,29.53,0.01774,0,186.0,38.8236656,-122.8123322,1.12,0.0,7,0.24,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 12:18:03.814000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:18:03.814000+00:00,0.0,75.0,0.0,0,0.0,59.1826,-153.193,1.9,0.0,0,0.31,56,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 12:21:05.619000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:21:05.619000+00:00,0.0,10.0,7.519,0,60.0,-12.7679,66.3649,4.7,0.0,63,0.37,340,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 12:24:38.413000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:24:38.413000+00:00,0.0,122.2,0.0,0,0.0,59.8592,-153.3164,1.4,0.0,0,0.31,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 12:26:32.840000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:26:32.840000+00:00,0.0,4.45,0.1354,0,89.0,33.2718333,-116.4306667,0.98,0.0,29,0.2,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 12:31:25.910000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:31:25.910000+00:00,0.0,9.59,0.1296,0,176.0,35.7046667,-117.515,0.88,0.0,10,0.2,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 12:42:29.260000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:42:29.260000+00:00,0.0,1.86,0.01016,0,95.0,38.7811661,-122.723999,1.33,0.0,10,0.02,27,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 12:42:48.140000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:42:48.140000+00:00,0.0,1.82,0.01109,0,81.0,38.7809982,-122.7228317,1.1,0.0,14,0.02,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 13:08:13.712000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 13:08:13.712000+00:00,0.0,10.0,8.457,0,86.0,-58.4136,-23.1988,5.0,0.0,37,0.57,385,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 13:08:59.855000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 13:08:59.855000+00:00,0.0,3.1,0.0,0,0.0,65.1269,-148.3693,1.8,0.0,0,0.9,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 13:25:55.678000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 13:25:55.678000+00:00,0.0,0.1,0.0,0,0.0,62.3651,-149.1846,1.8,0.0,0,0.9,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 13:40:59.140000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 13:40:59.140000+00:00,0.0,81.77,0.3133,0,198.0,18.5686666666667,-65.6586666666667,3.2,0.0,18,0.16,158,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2023-02-19 13:45:33.400000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 13:45:33.400000+00:00,0.0,0.16,0.1489,0,156.0,39.4080009,-122.9410019,1.52,0.0,11,0.14,36,0,0,0,1,0,0,0,0,0,0,1,0,0,0
